user_id,nickname,user_real_nickname,start_date,sum_reply,sum_son_reply,sum_emotion,recent_n_reply,recent_n_deleted,recent_n_emotion,recent_rate_emotion,recent_rate_self_delete,total_reply,heavy
4wCCs,glor****,glo,2017-07-08,436,17,4470,14,0,45,96%,0%,453,0.0
2z1UR,sang****,Geon,2013-11-27,"1,991","1,313",21869,263,0,833,88%,0%,3304,0.0
Ljn4,kean****,황근주,2006-05-21,"4,300",48,25420,3,0,1,50%,0%,4348,0.0
2VW05,jck4****,저격수,2010-01-12,"9,947","1,962",67271,60,1,134,77%,2%,11909,1.0
oFY3,cell****,cellohawk,2007-07-25,886,"1,980",10158,200,1,572,89%,1%,2866,0.0
cwp5d,rlad****,rla,2020-03-08,"3,409",126,22804,178,0,"1,162",92%,0%,3535,0.0
6fXNW,leey****,lee,2015-08-25,142,35,853,18,12,14,64%,67%,177,0.0
1Mnjv,hanc****,야신,2006-05-30,"8,390",95,35053,273,0,"2,106",89%,0%,8485,0.0
7mrX8,leey****,짠돌영감,2015-12-01,"6,838",836,22309,109,0,212,72%,0%,7674,0.0
3cc6A,psmc****,psmc0126,2020-04-02,270,118,2454,0,0,0,0%,0%,388,0.0
2FuJ5,ssan****,ssa,2019-01-29,"2,806",459,23224,37,0,216,92%,0%,3265,0.0
yiDr,chi7****,chpark,2020-03-22,"1,943",99,3788,162,0,350,67%,0%,2042,0.0
1118T,drea****,짜라,2008-06-25,346,3,1397,1,0,0,0%,0%,349,0.0
6CO3F,rlax****,김태래,2014-12-29,482,67,5332,6,0,45,94%,0%,549,0.0
5Fx0Q,hero****,Apple,2017-03-20,"4,759","1,520",41123,8,0,25,96%,0%,6279,0.0
5aYUR,gkst****,gks,2020-11-13,"5,034","2,246",38815,222,0,601,71%,0%,7280,0.0
1KIhL,cool****,없음,2016-07-12,"1,776",186,6091,16,0,52,63%,0%,1962,0.0
57Lpu,creo****,cre,2014-05-20,"2,766",753,24584,102,0,473,82%,0%,3519,0.0
